id,created_at,source,chat_run_id,user_message,assistant_response,routed_task_type,routed_specialist,routing_confidence,suggested_label,corrected_label,final_label,label_status,usefulness_rating,notes
intent-example-5c95177f5717,2026-07-09T08:29:28.830187Z,chat_run,9c57f70b-82fb-4317-841e-053956be567d,"Hi Astra, what can you do?","Astra can route a chat request to a specialist such as code, RAG, runtime, safety, or training. It can use read-only RAG over safe local project files when the question needs project context. It can check backend/runtime health, selected SLM profile, RAG status, tools, jobs, and recent runs.",general,general_specialist,0.35,general,general,general,corrected,good,Starter router dataset reviewed manually.
intent-example-e929f2ea6a31,2026-07-09T08:29:45.970378Z,chat_run,a3d0986d-ba04-45aa-9201-7bf6491050e8,Explain your main features in simple words.,"Astra is a local prototype assistant that can route chat requests to various specialists such as code, RAG, runtime, safety, or training. It uses read-only RAG over safe local project files when the question needs project context. Astra checks backend/runtime health, selected SLM profile, RAG status, tools, jobs, and recent runs. It explains, inspects, and drafts safe plans; destructive actions remain blocked or require explicit confirmation.",general,general_specialist,0.35,general,general,general,corrected,good,Starter router dataset reviewed manually.
intent-example-b097f83cab88,2026-07-09T08:29:54.163460Z,chat_run,c2c9d8bd-355d-4c3e-b425-c4f40a83ee72,What is the current system status?,"The current system status is as follows:

1. **Specialist**: general_specialist
2. **Intent**: general
3. **Confidence**: 35%
4. **Safety Decision**: allow
5. **Runtime Decision**: ollama/cuda

This information provides a snapshot of the system's current state, including the selected specialist, intent, confidence level, safety decision, and runtime environment.",general,general_specialist,0.35,general,general,general,corrected,good,Starter router dataset reviewed manually.
intent-example-ef363fec9d0a,2026-07-09T08:30:18.038249Z,chat_run,731c9529-f9c4-417a-96c2-36bfbc0d6a4c,Explain how the chat workflow works using the project files.,"The chat workflow in Astra involves routing a question to a specialist such as code, RAG, runtime, safety, or training based on the user's intent and confidence. The selected specialist is general_specialist, with an intent of general and a confidence of 35%. The safety decision is allow, and the runtime decision is ollama/cuda.

The workflow begins by routing the question to the general_specialist. The specialist then analyzes the project files to understand the machine it is running on before making a decision about which tools, models, or execution settings to use. The goal of this analysis is not just hardware reporting, but to give the SLM practical machine context.

The specialist uses read-only RAG over safe local project files when the question needs project context. This ensures that the SLM has access to the necessary information without exposing sensitive data.

Once the specialist has made a decision about which tools and settings to use, it is passed on to the appropriate specialist for further processing. The workflow continues until the question is resolved or closed.

The chat workflow in Astra is designed to ensure that the SLM has the necessary context to make informed decisions and provide accurate responses.",general,general_specialist,0.35,rag,rag,rag,corrected,good,Starter router dataset reviewed manually.
intent-example-bf5076a5974b,2026-07-09T08:30:36.666892Z,chat_run,04684707-f342-4f22-9ffb-4d96da7a3c7e,Where is project RAG indexing implemented?,"The project RAG indexing is implemented in the `local_runtime_intelligence.md` file, specifically in the section titled ""Next Steps"". The relevant code snippet is:

```markdown
## Next Steps - Add project/script analyzers that detect batch size, image size, AMP usage, model family, and DataLoader settings.
```

This indicates that the RAG indexing functionality is part of a larger system for analyzing and understanding Python scripts.",rag,rag_specialist,0.65,rag,rag,rag,corrected,good,Starter router dataset reviewed manually.
intent-example-4075a6f6918b,2026-07-09T08:30:54.502693Z,chat_run,0befe054-e586-49a5-a18e-cde0c0ac2078,Find the files related to RAG evaluation.,The files related to RAG evaluation are located in the `backend/app/local_runtime` directory.,rag,rag_specialist,0.65,rag,rag,rag,corrected,good,Starter router dataset reviewed manually.
intent-example-dc59c44229a9,2026-07-09T08:31:36.037981Z,chat_run,737169d7-a6ce-4cb1-bc1f-d793e7b02dfa,Explain the FastAPI endpoints used for chat.,"Astra uses FastAPI endpoints to handle chat requests. The endpoints include `/chat` for sending messages and receiving responses, `/health` for checking backend/runtime health, and `/tools` for listing available tools.",general,general_specialist,0.35,backend,backend,backend,corrected,good,Starter router dataset reviewed manually.
intent-example-1eb18459e905,2026-07-09T08:31:55.866329Z,chat_run,502e0042-24b4-4049-8e0e-e3b681c879db,Where are chat runs stored in the backend?,Chat runs are stored in the `backend/app/local_runtime/` directory.,general,general_specialist,0.35,backend,backend,backend,corrected,good,Starter router dataset reviewed manually.
intent-example-645565dcc100,2026-07-09T08:32:09.184460Z,chat_run,fa14a01b-2acd-45fa-b7b5-773f9c47603b,Explain the backend training dataset endpoints.,"The backend training dataset endpoints allow you to interact with and manage datasets used in training specialist models. You can load, validate, approve, archive, list, register, and evaluate datasets. The `load_jsonl_dataset` function is used to load JSONL formatted datasets, while the `validate_dataset_row` function checks if a dataset row meets certain criteria. The `register_dataset` function allows you to add new datasets to the system, and the `list_datasets` function provides a list of all available datasets.",training,training_specialist,0.65,training,backend,backend,corrected,good,Starter router dataset reviewed manually.
intent-example-104a2abad3f1,2026-07-09T08:32:24.803612Z,chat_run,7ef29079-3320-4d01-b5c1-67f89024ff22,Explain how the System page displays RAG status.,"The System page in Astra displays the current state of the RAG pipeline, including whether it is running or paused. It provides information about the number of active jobs, the status of each job, and any errors that may be occurring. The system also shows the health of the backend and runtime, as well as the selected SLM profile and tools.",rag,rag_specialist,0.65,rag,frontend,frontend,corrected,good,Starter router dataset reviewed manually.
intent-example-a8673ab70df8,2026-07-09T08:32:46.902484Z,chat_run,0152e84d-cadd-462e-8656-6984a8c23cfa,Where is the Training Dataset card implemented in the frontend?,The Training Dataset card is implemented in the `frontend/src/components/TrainingDatasetCard.js` file.,training,training_specialist,0.65,training,frontend,frontend,corrected,good,Starter router dataset reviewed manually.
intent-example-5708ac5345ef,2026-07-09T08:32:55.224064Z,chat_run,6e986901-2d81-4fa9-bd8c-904b958c7ca9,Explain how the Chat page shows RAG metadata.,"The Chat page in Astra displays RAG metadata to provide context about the machine it is running on before the SLM chooses tools, models, or execution settings. This includes hardware reporting, AI/coding tools installed, laptop capabilities, task safety settings, and when Astra should prefer RAG, quantization, CPU fallback, or cloud GPU.",rag,rag_specialist,0.65,rag,frontend,frontend,corrected,good,Starter router dataset reviewed manually.
intent-example-06a22ae46d24,2026-07-09T08:33:17.324668Z,chat_run,1b032438-a677-4e77-b31f-8031355162c7,Which tests were added for RAG indexing?,The tests added for RAG indexing are located in the `training/scripts` directory.,rag,rag_specialist,0.65,rag,testing,testing,corrected,good,Starter router dataset reviewed manually.
intent-example-5344ab99e1fa,2026-07-09T08:33:32.619112Z,chat_run,81c66f72-189f-40a7-b1c4-1e73f2f593bc,How do I run the backend test suite?,"To run the backend test suite, you can follow these steps:

1. Navigate to the root directory of your project.
2. Run the following command in your terminal:
   ```bash
   python training/scripts/run_tests.py
   ```

This command will execute all the tests defined in the `training/scripts` directory, ensuring that your backend is functioning correctly.",general,general_specialist,0.35,testing,testing,testing,corrected,good,Starter router dataset reviewed manually.
intent-example-db2c0b18a7c3,2026-07-09T08:33:52.533590Z,chat_run,f89efbf9-5bfb-407e-a65a-36e7c2be2364,Explain what npm lint and vite build check.,"NPM lint checks for errors in JavaScript code, while Vite builds the project by compiling TypeScript files into JavaScript.",code_quality,code_quality_specialist,0.65,testing,testing,testing,corrected,good,Starter router dataset reviewed manually.
intent-example-06a33d9ac2b6,2026-07-09T08:34:07.568653Z,chat_run,07ca9b90-4d4c-4763-a1b7-94b4d48b515a,The frontend cannot connect to the backend. What should I check?,"Check the backend health, selected SLM profile, RAG status, tools, jobs, and recent runs.",general,general_specialist,0.35,frontend,debugging,debugging,corrected,good,Starter router dataset reviewed manually.
